image,width,height,quality,entropy_method,psnr,original_bytes,compressed_bytes,compression_ratio,bpp,time_encoding_ms,total_time_ms
1.png,768,512,30,huff,30.856193209937487,1179648,27446.0,42.980689353639875,0.5583902994791666,256.7873001098633,491.3027286529541
1.png,768,512,50,huff,28.894197850952583,1179648,163024.625,7.236011124086315,3.3167444864908853,542.726993560791,979.1350364685059
1.png,768,512,70,huff,28.13851400281079,1179648,202398.875,5.8283327908813725,4.117815653483073,543.5099601745605,880.9361457824707
1.png,768,512,90,huff,27.79236374612747,1179648,281423.625,4.191716313795617,5.725578308105469,711.0040187835693,1100.445032119751
10.png,512,768,30,huff,33.94070225792354,1179648,13381.0,88.15843359988042,0.2722371419270833,209.28192138671875,410.6311798095703
10.png,512,768,50,huff,29.187678116455746,1179648,161802.0,7.29068861942374,3.2918701171875,548.0542182922363,853.1351089477539
10.png,512,768,70,huff,28.122741852706703,1179648,200503.25,5.883435804656533,4.0792490641276045,546.3087558746338,883.9659690856934
10.png,512,768,90,huff,27.764148930486776,1179648,277547.875,4.250250519842748,5.646725972493489,705.1084041595459,1105.3712368011475
11.png,768,512,30,huff,32.37401773085057,1179648,18597.0,63.43216647846427,0.37835693359375,225.31628608703613,428.97510528564453
11.png,768,512,50,huff,28.996314639673862,1179648,159830.125,7.380636159797786,3.2517522176106772,540.7853126525879,841.1290645599365
11.png,768,512,70,huff,28.129692545577406,1179648,201842.625,5.844394859609064,4.106498718261719,531.461238861084,870.8159923553467
11.png,768,512,90,huff,27.772506196875458,1179648,279212.375,4.224913025434493,5.680590311686198,709.1348171234131,1093.9667224884033
12.png,768,512,30,huff,33.99875804686024,1179648,11683.625,100.96592453112797,0.2377039591471354,199.56111907958984,393.02611351013184
12.png,768,512,50,huff,29.293538030799226,1179648,155940.75,7.564719292423565,3.1726226806640625,502.7580261230469,797.0449924468994
12.png,768,512,70,huff,28.176714031232866,1179648,202054.375,5.838270020136906,4.110806783040364,557.9581260681152,900.5041122436523
12.png,768,512,90,huff,27.780943228456294,1179648,279251.5,4.224321086905531,5.681386311848958,719.7740077972412,1263.7953758239746
13.png,768,512,30,huff,30.085822234452877,1179648,35823.75,32.929215953103736,0.7288360595703125,338.0699157714844,572.235107421875
13.png,768,512,50,huff,28.682573823773318,1179648,167766.375,7.031492454909394,3.4132156372070312,512.7148628234863,829.0266990661621
13.png,768,512,70,huff,28.103007327921187,1179648,204832.875,5.759075539021751,4.167335510253906,565.3550624847412,901.2570381164551
13.png,768,512,90,huff,27.791310161185912,1179648,281684.0,4.18784169494895,5.730875651041667,709.5999717712402,1100.423812866211
14.png,768,512,30,huff,31.533037651076647,1179648,24620.5,47.913243029183,0.5009053548177084,241.98007583618164,450.58488845825195
14.png,768,512,50,huff,28.890564572950183,1179648,167460.375,7.0443410866600535,3.4069900512695312,770.3640460968018,1690.708875656128
14.png,768,512,70,huff,28.111070284890914,1179648,202122.5,5.836302242451978,4.112192789713542,700.840950012207,1084.8159790039062
14.png,768,512,90,huff,27.770422885848433,1179648,279433.625,4.221567823127943,5.685091654459636,767.3590183258057,1166.3711071014404
15.png,768,512,30,huff,33.4780889845596,1179648,12785.375,92.26542045110136,0.26011912027994794,431.3240051269531,1374.3369579315186
15.png,768,512,50,huff,29.16065608946027,1179648,150243.5,7.851574277755777,3.0567118326822915,705.2512168884277,1094.756841659546
15.png,768,512,70,huff,28.14941694572186,1179648,200283.875,5.889880051501899,4.074785868326823,607.3858737945557,979.2270660400391
15.png,768,512,90,huff,27.786770184085743,1179648,278220.75,4.239971317739601,5.6604156494140625,763.7088298797607,1152.0438194274902
16.png,768,512,30,huff,33.183006774045644,1179648,15061.125,78.32402957946368,0.30641937255859375,207.32593536376953,402.96411514282227
16.png,768,512,50,huff,29.27905441836769,1179648,158782.625,7.429326728916341,3.2304407755533853,518.2380676269531,887.1297836303711
16.png,768,512,70,huff,28.18807391402999,1179648,203698.375,5.791150763966575,4.144254048665364,693.5129165649414,2156.2721729278564
16.png,768,512,90,huff,27.799525536240594,1179648,280598.25,4.204046176339304,5.7087860107421875,1361.7610931396484,1855.8349609375
17.png,512,768,30,huff,33.84679400201888,1179648,15222.625,77.4930736321758,0.30970509847005206,290.0681495666504,535.5119705200195
17.png,512,768,50,huff,29.234818930363517,1179648,162474.125,7.26052840721561,3.3055445353190103,1997.514009475708,3821.315050125122
17.png,512,768,70,huff,28.152562330063994,1179648,202382.5,5.8288043679665975,4.117482503255208,690.4211044311523,1079.7879695892334
17.png,512,768,90,huff,27.773610432538295,1179648,278798.125,4.231190579204935,5.672162373860677,866.480827331543,1259.8910331726074
18.png,512,768,30,huff,31.619911122099108,1179648,24179.375,48.78736526481764,0.49193064371744794,281.48484230041504,501.7220973968506
18.png,512,768,50,huff,28.781452864080578,1179648,170183.25,6.931633988656346,3.4623870849609375,672.3570823669434,1004.5638084411621
18.png,512,768,70,huff,28.06394046727967,1179648,201132.5,5.865029271748723,4.092051188151042,555.8679103851318,905.9112071990967
18.png,512,768,90,huff,27.75674010646952,1179648,277896.625,4.244916612427373,5.653821309407552,713.3469581604004,1117.0978546142578
19.png,512,768,30,huff,32.59751375580866,1179648,17140.375,68.82276496284358,0.34872182210286456,277.96196937561035,488.8789653778076
19.png,512,768,50,huff,29.05167460377687,1179648,165575.75,7.124521555843775,3.368647257486979,528.0840396881104,836.3537788391113
19.png,512,768,70,huff,28.118142568744776,1179648,202567.125,5.823491842518869,4.121238708496094,578.6538124084473,1087.7470970153809
19.png,512,768,90,huff,27.769669135423417,1179648,278807.25,4.231052097820268,5.6723480224609375,783.8201522827148,1201.6880512237549
2.png,768,512,30,huff,32.913171238357826,1179648,11908.125,99.0624468587624,0.24227142333984375,215.3189182281494,412.3671054840088
2.png,768,512,50,huff,28.984740129653908,1179648,160313.375,7.358387907434423,3.2615839640299478,714.1878604888916,1071.5961456298828
2.png,768,512,70,huff,28.097015005954145,1179648,200298.25,5.889457346731686,4.0750783284505205,955.9800624847412,1319.321870803833
2.png,768,512,90,huff,27.756735478975546,1179648,278055.5,4.242491157340891,5.657053629557292,825.7708549499512,1391.9970989227295
20.png,768,512,30,huff,34.1626809268438,1179648,12461.75,94.66150420286075,0.2535349527994792,408.1592559814453,1633.8789463043213
20.png,768,512,50,huff,29.977076810573923,1179648,114450.125,10.307092281463214,2.3284937540690103,668.2460308074951,1504.2190551757812
20.png,768,512,70,huff,28.623841711789755,1179648,191344.25,6.165055913621653,3.892908732096354,680.0417900085449,1066.744089126587
20.png,768,512,90,huff,28.12273005683222,1179648,270343.75,4.363511270373367,5.5001576741536455,1368.6671257019043,2201.568841934204
21.png,768,512,30,huff,32.591616656921396,1179648,19041.0,61.95304868441784,0.38739013671875,648.3840942382812,912.520170211792
21.png,768,512,50,huff,29.08080632558753,1179648,164876.625,7.154731606132767,3.3544235229492188,709.5167636871338,1039.963960647583
21.png,768,512,70,huff,28.122404966321305,1179648,202015.75,5.839386285475266,4.1100209554036455,590.846061706543,954.7829627990723
21.png,768,512,90,huff,27.77040624886962,1179648,278925.0,4.229265931702071,5.67474365234375,783.5040092468262,1270.0929641723633
22.png,768,512,30,huff,32.286356768246456,1179648,17921.5,65.82306168568479,0.3646138509114583,218.7209129333496,421.21410369873047
22.png,768,512,50,huff,28.876779082783347,1179648,166669.375,7.077772986188974,3.3908971150716147,590.9240245819092,904.0119647979736
22.png,768,512,70,huff,28.075502612807064,1179648,200464.125,5.884584087052983,4.078453063964844,603.5268306732178,966.7611122131348
22.png,768,512,90,huff,27.749417173872978,1179648,276931.375,4.259712356535983,5.634183247884114,952.1620273590088,1494.5449829101562
23.png,768,512,30,huff,34.64224082899615,1179648,10255.125,115.03009470874319,0.20864105224609375,217.34905242919922,432.110071182251
23.png,768,512,50,huff,29.24740262521361,1179648,154877.875,7.616633428112311,3.1509984334309897,995.7449436187744,1395.0858116149902
23.png,768,512,70,huff,28.141742107016835,1179648,201211.625,5.862722891880626,4.093660990397136,699.3658542633057,1208.799123764038
23.png,768,512,90,huff,27.763380977322175,1179648,277888.125,4.2450464552956335,5.653648376464844,949.2900371551514,1447.293996810913
24.png,768,512,30,huff,31.96243312507616,1179648,23857.75,49.44506502080037,0.4853871663411458,252.0737648010254,477.985143661499
24.png,768,512,50,huff,29.064478120865346,1179648,157184.75,7.5048501842576965,3.197931925455729,541.0239696502686,846.2400436401367
24.png,768,512,70,huff,28.217910045219085,1179648,199238.0,5.920798241299351,4.053507486979167,573.2779502868652,914.1857624053955
24.png,768,512,90,huff,27.85698467185445,1179648,276051.25,4.273293455472489,5.6162770589192705,756.0651302337646,1215.122938156128
3.png,768,512,30,huff,34.45249563440282,1179648,11386.5,103.60057963377685,0.231658935546875,204.68401908874512,407.71031379699707
3.png,768,512,50,huff,29.365349438898786,1179648,150271.0,7.850137418397429,3.0572713216145835,541.252851486206,847.0230102539062
3.png,768,512,70,huff,28.18398054024584,1179648,202057.25,5.8381869494908,4.1108652750651045,569.8168277740479,906.7099094390869
3.png,768,512,90,huff,27.78053616368147,1179648,279124.5,4.226243128066508,5.678802490234375,702.9058933258057,1194.4248676300049
4.png,512,768,30,huff,33.09468670819018,1179648,14152.25,83.35409563850271,0.2879282633463542,219.79093551635742,475.13604164123535
4.png,512,768,50,huff,29.025947883540773,1179648,160467.0,7.351343266839911,3.26470947265625,571.6867446899414,884.1328620910645
4.png,512,768,70,huff,28.103675599343326,1179648,199975.375,5.898966310226947,4.068509419759114,906.8288803100586,1275.205135345459
4.png,512,768,90,huff,27.7523563987894,1179648,277766.0,4.24691286910565,5.651163736979167,745.2261447906494,1240.4048442840576
5.png,768,512,30,huff,30.84161575908801,1179648,32134.625,36.709561726642214,0.6537806193033854,255.09381294250488,472.35894203186035
5.png,768,512,50,huff,28.69418694895495,1179648,165147.625,7.1429910057743795,3.3599370320638022,532.2668552398682,847.6369380950928
5.png,768,512,70,huff,28.073263462151715,1179648,202484.125,5.8258789423615305,4.119550069173177,583.2688808441162,919.0158843994141
5.png,768,512,90,huff,27.769330842373723,1179648,279030.875,4.227661186239695,5.676897684733073,696.9621181488037,1084.5768451690674
6.png,768,512,30,huff,31.916573120688337,1179648,21479.75,54.91907494267857,0.4370066324869792,224.89023208618164,438.01331520080566
6.png,768,512,50,huff,29.09411356128471,1179648,155260.75,7.5978507124305406,3.158788045247396,500.48375129699707,797.9271411895752
6.png,768,512,70,huff,28.18448057204019,1179648,202831.125,5.815912128870754,4.126609802246094,564.4378662109375,906.02707862854
6.png,768,512,90,huff,27.801225760112995,1179648,281364.0,4.192604597603105,5.724365234375,689.777135848999,1144.3190574645996
7.png,768,512,30,huff,33.85496342120136,1179648,15234.75,77.43139861172648,0.3099517822265625,230.29589653015137,464.71214294433594
7.png,768,512,50,huff,29.179481593014952,1179648,152743.0,7.723090419855574,3.1075642903645835,566.1590099334717,873.8300800323486
7.png,768,512,70,huff,28.14042592994765,1179648,201415.875,5.856777674550231,4.097816467285156,670.111894607544,1022.8960514068604
7.png,768,512,90,huff,27.763136129667288,1179648,278161.25,4.240878267551645,5.6592051188151045,713.6151790618896,1102.924108505249
8.png,768,512,30,huff,30.7626178545299,1179648,30922.375,38.1486868327546,0.6291173299153646,253.0510425567627,461.3640308380127
8.png,768,512,50,huff,28.698342804132707,1179648,165015.625,7.148704857494556,3.3572514851888022,515.5129432678223,821.4869499206543
8.png,768,512,70,huff,28.07600910381261,1179648,201849.5,5.8441957993455524,4.106638590494792,564.6700859069824,908.10227394104
8.png,768,512,90,huff,27.76490409222721,1179648,279260.75,4.224181164019648,5.6815745035807295,712.9530906677246,1100.322961807251
9.png,512,768,30,huff,34.31698030635114,1179648,12154.75,97.05242806310291,0.24728902180989584,201.2648582458496,394.9160575866699
9.png,512,768,50,huff,29.251538413966504,1179648,162386.5,7.264446243991958,3.3037618001302085,575.7172107696533,877.4247169494629
9.png,512,768,70,huff,28.129488533702446,1179648,200364.625,5.88750634000388,4.076428731282552,552.1290302276611,886.7909908294678
9.png,512,768,90,huff,27.761547762920614,1179648,277421.25,4.252190486489409,5.6441497802734375,695.2981948852539,1080.6689262390137
lena.png,512,512,30,huff,32.60585744889373,786432,9240.25,85.10938556857228,0.28199005126953125,137.47382164001465,268.68700981140137
lena.png,512,512,50,huff,28.798613794067144,786432,111157.875,7.074910347107661,3.3922691345214844,387.6199722290039,590.9240245819092
lena.png,512,512,70,huff,28.037755960680308,786432,129461.125,6.0746575468118325,3.9508399963378906,355.266809463501,575.1421451568604
lena.png,512,512,90,huff,27.744442213093482,786432,184748.125,4.25677933131933,5.638065338134766,476.1788845062256,732.4647903442383
